TrainID,TrainNumber,Depot,BayPositionID,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,JobCardStatus,OpenJobCards,BrandingActive,ExposureHoursTarget,ExposureHoursAccrued,TotalMileageKM,MileageSinceLastServiceKM,BrakepadWear%,HVACWear%,BatteryHealth%,CompressorEfficiency%,OperationalStatus,CleaningRequired,predicted_delay_minutes,scheduled_load_factor,dwell_time_seconds,distance_km,passenger_density,delay_category,OnTimePerformance%,ReliabilityScore,Score
KRISHNA,T001,Kalamassery,2,True,True,False,close,1,True,280,23,29328,4311,23.199614093720598,69.25341957341406,80.2142115241345,70.74300715114818,under_maintenance,True,4.362932269986798,0.8012137290456824,119,14.533654053873983,0.3763524976325574,Low,93.24971957426273,0.9456974822020088,82.75
TAPTI,T002,Muttom,12,True,True,False,open,2,True,320,154,32335,1211,91.57704577654249,36.92756360901014,89.18927146775272,85.01438656073162,service,False,0.7419667470411833,0.3551601386549207,67,21.07630727781888,0.6948158018913968,Low,97.06389660435089,0.9039233861462171,71.15
NILA,T003,Muttom,12,True,True,True,open,0,True,320,53,32496,1669,45.41009800313329,46.27282418947484,84.36524022667953,74.79188214954672,service,True,6.672883413126002,0.41438174563334984,78,8.208800016038394,0.9403129436969742,Medium,94.63426741806639,0.8395307313146485,90.83
SARAYU,T004,Kalamassery,7,False,True,True,close,2,False,0,0,47717,6982,20.29508841692378,83.0508899348436,95.3873261554681,87.99985236561187,standby,True,4.537440411828018,0.4854161165486367,61,19.13474658810695,0.6311818317338324,Low,95.45819336313161,0.8771180889130243,73.67
ARUTH,T005,Muttom,14,False,False,True,close,4,False,0,0,19163,6804,75.46257260269903,78.88823277333327,75.26477146026147,97.8913986467227,service,False,1.2227305547860885,0.9797548643295326,31,17.646518435899928,0.29164139438694936,Low,97.38703830180752,0.9351580039264897,57.56
VAIGAI,T006,Muttom,17,False,True,False,open,1,False,0,0,21973,5389,91.30527420168642,80.06823523025552,93.66677392689868,84.21456069537376,service,True,2.107112406008726,0.4069874879847444,50,14.405717692751391,0.8229011829044466,Low,92.42495141073249,0.8001029413030298,54.86
JHANAVI,T007,Muttom,16,False,False,True,close,2,False,0,0,19535,2560,19.634013319535004,80.24076793632324,65.13565857999052,83.30790658676447,service,True,7.575595562383953,0.48553964025804136,107,11.732172624620398,0.3694385643536657,Medium,92.55014524291242,0.9313875924361957,69.01
DHWANIL,T008,Muttom,19,True,False,False,open,3,False,0,0,29432,617,34.83244909328064,15.122071706107594,62.839723440361304,87.67088280356276,service,True,0.16827408005647104,0.34718022967721524,34,21.77161420583617,0.2566858799109228,Low,88.33206488116593,0.9204160000933305,66.0
BHAVANI,T009,Kalamassery,15,True,True,False,close,3,False,0,0,18550,2112,22.546063719350578,62.71861996117305,62.424506963080546,90.38998047635312,service,True,2.8343805327164304,0.4740594337441999,54,14.334572339937921,0.3121458376758196,Low,87.56883250102126,0.8832730523121741,82.47
PADMA,T010,Kalamassery,16,True,False,True,close,4,True,300,221,41282,1460,89.10935864065021,77.89565875314443,66.58548485606107,70.06035059383994,service,False,1.3304888848313121,0.4856421407205064,88,8.560732265779166,0.7572732028801301,Low,95.22707444381652,0.9410050751271717,71.3
